Sentence,Entities,Document_ID,Entity_Texts,matched_entities
"How important is that higher transparency been in your view, both for the proper March 20, 2024 Chair Powell’s Press Conference FINAL Page 23 of 24 functioning of the central bank and also in accomplishing your mission?","(('Federal Reserve', 0),)",FOMCpresconf20240320.pdf,['Federal Reserve'],"['Powell', 'Chair']"
"It has applications in wholesale finance, in the payment system, and so we need—to serve the public—these issues have become very front burner in the last five or six years—we need to be knowledgeable about all that.","(('', ''),)",FOMCpresconf20240320.pdf,[''],['Banking System']
Bank credit data also indicate that the expansion in credit card balances con- tinued in October before slowing in early November.,"(('Credit', 0.6), ('Finance', 0.5), ('Economy', 0.4), ('Debt', 0.5))",fomcminutes20221214.pdf,"['Credit', 'Finance', 'Economy', 'Debt']",['Balance']
"Financing conditions for nonfinancial businesses in cap- ital markets remained broadly accommodative over the intermeeting period, supported by low interest rates and high equity valuations.","(('Interest Rates',0.8),('Equity Price',0.9),('Expectation',0.66))",fomcminutes20210317.pdf,"['Interest Rates', 'Equity Price', 'Expectation']","['Market Liquidity', 'Financial Markets', 'Finance', 'Bond Market', 'Money Market']"
(more) -2-,"(('', ''),)",monetary20231213a1.pdf,[''],[]
The Committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the Committee’s goals.,"(('Federal Reserve', 0.858), ('Monetary Policy', 0.82), ('Risk', 0.82),)",fomcminutes20221214.pdf,"['Federal Reserve', 'Monetary Policy', 'Risk']","['Monetary Policy', 'domestic policy directive', 'Federal Open Market Committee(FOMC)', 'Powell', 'Risk']"
"Members also remarked that the path of the economy would depend significantly on the course of the virus, including pro- gress on vaccinations.","(('Pandemic',0))",fomcminutes20210317.pdf,[],['Pandemic']
"But I would say that the story is really essentially the same and that is of inflation coming down gradually toward 2 percent on a sometimes-bumpy path, as I mentioned.","(('Inflation', 0.123),)",FOMCpresconf20240320.pdf,['Inflation'],"['Inflation', 'Price Stability']"
"David Altig, Executive Vice President, Federal Reserve Bank of Atlanta Roc Armenter, Vice President, Federal Reserve Bank of Philadelphia Kartik B. Athreya, Executive Vice President, Federal Reserve Bank of Richmond Penelope A. Beattie, Section Chief, Office of the Secretary, Board Daniel O. Beltran, Deputy Associate Director, Division of International Finance, Board Ellen J. Bromagen, First Vice President, Federal Reserve Bank of Chicago Jennifer J. Burns, Deputy Director, Division of Supervision and Regulation, Board Mark A. Carlson, Adviser, Division of Monetary Affairs, Board Todd E. Clark, Senior Vice President, Federal Reserve Bank of Cleveland Stephanie E. Curcuru, Deputy Director, Division of International Finance, Board Navtej S. Dhillon, Special Adviser to the Board, Division of Board Members, Board Burcu Duygan-Bump, Special Adviser to the Board, Division of Board Members, Board Rochelle M. Edge, Deputy Director, Division of Monetary Affairs, Board Matthew J. Eichner,2 Director, Division of Reserve Bank Operations and Payment Systems, Board Eric M. Engen, Senior Associate Director, Division of Research and Statistics, Board Eric C. Engstrom, Associate Director, Division of Monetary Affairs, Board 2 Attended through the discussion of developments in finan- cial markets and open market operations.","(('', ''),)",fomcminutes20221214.pdf,[''],"['Board', 'Powell', 'Federal Reserve', 'Chair', 'Reserves']"
Just give us a sense of your thinking there.,"(('', ''),)",FOMCpresconf20240320.pdf,[''],[]
But that’s what I had in mind.,"(('', ''),)",FOMCpresconf20240320.pdf,[''],[]
And what might that look like?,"(('', ''),)",FOMCpresconf20240320.pdf,[''],[]
"Overall, partici- pants assessed that there was considerable uncertainty around the consumer spending outlook.","(('Expectation', -0.5), ('Economy', -0.4))",fomcminutes20221214.pdf,"['Expectation', 'Economy']","['Uncertain', 'Expectation']"
"I said that any number of times, so those were kind of the main part of the message.","(('', ''),)",FOMCpresconf20240320.pdf,[''],[]
"As part of its policy decision, the Federal Open Market Committee voted to direct the Open Market Desk at the Federal Reserve Bank of New York, until instructed otherwise, to execute transactions in the System Open Market Account in accordance with the following domestic policy directive: ""Effective July 27, 2023, the Federal Open Market Committee directs the Desk to: o Undertake open market operations as necessary to maintain the federal funds rate in a target range of 5-1/4 to 5-1/2 percent.","(('Federal Reserve', 0.876), ('Interest Rates', 0.759),('Repurchase', """"))",ARP_07.2023.pdf,"['Federal Reserve', 'Interest Rates', 'Repurchase']","['Federal Open Market Committee(FOMC)', 'Federal Funds Target', 'Federal Funds Rate', 'SOMA', 'Board']"
"In assessing the appropriate stance of monetary policy, the Committee will continue to monitor the implications of incoming information for the economic outlook.","(('Federal Reserve', 0.824), ('Economy', 0.891),('Monetary Policy', 0))",fomcminutes20210317.pdf,"['Federal Reserve', 'Economy', 'Monetary Policy']","['Monetary Policy', 'Economic outlook', 'domestic policy directive', 'Powell', 'Federal Open Market Committee(FOMC)']"
"In fact, they were decreasing.","(('', ''),)",FOMCpresconf20240320.pdf,[''],[]
"A few participants remarked that the current configuration of nominal yields, with longer-term yields lower than shorter-term yields, had historically preceded recessions and hence bore watching.","(('Yields', -0.7), ('Risk', -0.7), ('Economy', -0.6))",fomcminutes20221214.pdf,"['Yields', 'Risk', 'Economy']","['Yields', 'Term Premium']"
We’ve always had dissents.,"(('', ''),)",FOMCpresconf20240320.pdf,[''],[]
"We do have people who are keeping up with that, as part of the broader payments landscape.","(('', ''),)",FOMCpresconf20240320.pdf,[''],['Credit']
Inflation remains somewhat elevated.,"(('Inflation', -0.72),)",monetary20250129a1.pdf,['Inflation'],"['Inflation', 'maximum employment', 'Price Stability', 'Transitory', 'Personal Consumption Expenditures (PCE)']"
A couple of participants noted that risks to the inflation outlook were becoming more balanced.,"(('Inflation', -0.745),)",fomcminutes20221214.pdf,['Inflation'],"['Inflation', 'Price Stability', 'Risk']"
"riod, reportedly reflecting a reassessment by market par-",,fomcminutes20210317.pdf,[],[]
"In assessing the appropriate stance of monetary policy, the Committee will continue to monitor the implications of incoming information for the economic outlook.","(('Federal Reserve', 0.831), ('Monetary Policy', 0.785), ('Economy', 0.891),)",ARP_07.2023.pdf,"['Federal Reserve', 'Monetary Policy', 'Economy']","['Monetary Policy', 'Economic outlook', 'domestic policy directive', 'Powell', 'Federal Open Market Committee(FOMC)']"
Staff Economic Outlook The U.S. economic projection prepared by the staff for the March FOMC meeting was considerably stronger than the January forecast.,"(('GDP',0.33),('Expectation',0.66）)",fomcminutes20210317.pdf,[],"['Economic outlook', 'Employment', 'Federal Open Market Committee(FOMC)', 'Economic outlook']"
But we’re talking about something that’s unexpected.,"(('', ''),)",FOMCpresconf20240320.pdf,[''],[]
More information regarding open market operations and reinvestments may be found on the Federal Reserve Bank of New York's website.,"(('Federal Reserve', 0),)， ('Reinvestments', 0))",ARP_07.2023.pdf,[],"['Federal Open Market Committee(FOMC)', 'Federal Reserve', 'Equity Markets', 'Reinvestment', 'Financial Markets']"
"But given that you said that PCE for February, 2.8 percent the estimate, and that we have been seeing PCE—core PCE coming down by a tenth of a percent every month, I mean, wouldn’t you be at about 2.4 percent this summer, June, July, to a point where you could cut then? CHAIR POWELL.","(('Inflation', -0.33),)",FOMCpresconf20240320.pdf,['Inflation'],"['Personal Consumption Expenditures (PCE)', 'Chair', 'Powell']"
So we make decisions meeting by meeting.,"(('', ''),)",FOMCpresconf20240320.pdf,[''],[]
"I mean, there’s a long list of things that we’ve done.","(('', ''),)",FOMCpresconf20240320.pdf,[''],[]
"After the transitory effects of these factors fade, however, partici- pants generally anticipated that annual inflation readings would edge down next year.","(('Inflation',-0.2),('Price Stability',-0.66))",fomcminutes20210317.pdf,"['Inflation', 'Price Stability']","['Transitory', 'Inflation']"
They also show somewhat stronger growth.,"(('', ''),)",FOMCpresconf20240320.pdf,[''],['Cyclically Sensitive Sectors']
"They judged that these asset purchases would help foster smooth market functioning and accommodative financial conditions, thereby supporting the flow of credit to households and businesses.","(('Securities',0),('Market Liquidity',0.8))",fomcminutes20210317.pdf,"['Securities', 'Market Liquidity']","['Credit', 'Mortgage-Backed Securities', 'Market Liquidity', 'Asset', 'Banking System']"
"Voting for the monetary policy action were Jerome H. Powell, Chair; John C. Williams, Vice Chair; Thomas I. Barkin; Michael S. Barr; Raphael W. Bostic; Michelle W. Bowman; Lisa D. Cook; Mary C. Daly; Philip N. Jefferson; Adriana D. Kugler; and Christopher J. Waller.","(('Monetary Policy', 0),)",monetary20241218a1.pdf,['Monetary Policy'],"['Powell', 'Chair', 'Board', 'domestic policy directive', 'Federal Reserve']"
"o Allow modest deviations from stated amounts for reinvestments, if needed for operational reasons.","((' Reinvestment', 0),)",monetary20231213a1.pdf,[' Reinvestment'],"['Reinvestment', 'Market Liquidity']"
So I think it’s generally broadly helped and made things better.,"(('', ''),)",FOMCpresconf20240320.pdf,[''],[]
Credit was readily available in the residential mortgage market for high-credit-score borrowers who met stand- ard conforming loan criteria.,"(('Credit', 0.7), ('Finance', 0.6), ('Economy', 0.5), ('Mortgage', 0.7))",fomcminutes20221214.pdf,"['Credit', 'Finance', 'Economy', 'Mortgage']","['Mortgage', 'Credit', 'Mortgage-Backed Securities']"
"So you need to check yourself on that, and I’ll do that.","(('', ''),)",FOMCpresconf20240320.pdf,[''],[]
"Several participants commented that the medians of participants’ assessments for the appropriate path of the federal funds rate in the Summary of Economic Pro- jections, which tracked notably above market-based Minutes of the Meeting of December 13–14, 2022 Page 9 _____________________________________________________________________________________________ measures of policy rate expectations, underscored the Committee’s strong commitment to returning inflation to its 2 percent goal.","(('Federal Funds Rate', 0.7), ('Expectation', 0.7), ('Inflation', 0.7), ('Federal Open Market Committee(FOMC)', 0.6))",fomcminutes20221214.pdf,"['Federal Funds Rate', 'Expectation', 'Inflation', 'Federal Open Market Committee(FOMC)']","['Federal Funds Target', 'Federal Funds Rate', 'Federal Open Market Committee(FOMC)', 'Monetary Policy']"
"In addition, the Committee will continue reducing its holdings of Treasury securities and agency debt and agency mortgage-backed securities, as described in its previously announced plans.","(('Federal Reserve', 0.462),)",ARP_07.2023.pdf,['Federal Reserve'],"['Mortgage-Backed Securities', 'Federal Open Market Committee(FOMC)', 'Treasury Securities', 'Board', 'Securities']"
The Committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the Committee’s goals.,"(('Federal Reserve', 0.877), ('Monetary Policy', 0.814),)",monetary20211103a1.pdf,"['Federal Reserve', 'Monetary Policy']","['Monetary Policy', 'domestic policy directive', 'Federal Open Market Committee(FOMC)', 'Powell', 'Risk']"
"With inflation staying persistently above the Commit- tee’s 2 percent goal and the labor market remaining very tight, all participants had raised their assessment of the appropriate path of the federal funds rate relative to their assessment at the time of the September meeting.","(('Inflation', -0.8), ('Labor Market', 0.4), ('Federal Funds Rate', 0.7), ('Expectation', 0.6))",fomcminutes20221214.pdf,"['Inflation', 'Labor Market', 'Federal Funds Rate', 'Expectation']","['Federal Funds Target', 'Federal Funds Rate', 'Monetary Policy', 'Federal Open Market Committee(FOMC)', 'domestic policy directive']"
"Credit continued to be generally available to businesses and households, but high borrowing costs appeared to weigh on financing volumes in many markets.","(('Interest Rates', -0.63), ('Economy', -0.62), ('Financial Markets', -0.60))",fomcminutes20221214.pdf,"['Interest Rates', 'Economy', 'Financial Markets']","['Credit', 'Debt', 'Money Market', 'Finance', 'Mortgage-Backed Securities']"
"In their discussion of monetary policy for this meeting, members agreed that recent indicators pointed to mod- est growth in spending and production.","(('Monetary Policy', 0.351), ('Growth', 0.351),)",fomcminutes20221214.pdf,"['Monetary Policy', 'Growth']","['domestic policy directive', 'Monetary Policy', 'Growth', 'Economic outlook', 'Fiscal Policy']"
o Reinvest into agency mortgage-backed securities (MBS),"(('', ''),)",ARP_07.2023.pdf,[''],"['Mortgage-Backed Securities', 'Reinvestment', 'Securities', 'Treasury Securities', 'Security holdings']"
"So you can have that if you have a continued supply-side activity that we had last year with—both with supply chains and also with, with growth in the size of the labor force.","(('', ''),)",FOMCpresconf20240320.pdf,[''],"['Cyclically Sensitive Sectors', 'Labor Market', 'maximum employment']"
o Increase holdings of Treasury securities and agency MBS by additional amounts as needed to sustain smooth functioning of markets for these securities.,"(('', ''),)",monetary20211103a1.pdf,[''],"['Treasury Securities', 'Securities', 'Security holdings', 'Reinvestment', 'Equity Markets']"
Page 2 Federal Open Market Committee _____________________________________________________________________________________________,"(('Federal Open Market Committee (FOMC)', 0.0))",fomcminutes20221214.pdf,[],"['Federal Open Market Committee(FOMC)', 'Federal Funds Target', 'Board']"
The war and related events were contributing to upward pressure on inflation and were weighing on global economic activity.,"(('War', -0.9), ('Inflation', -0.8), ('Economy', -0.7), ('Risk', -0.7))",fomcminutes20221214.pdf,"['War', 'Inflation', 'Economy', 'Risk']","['Inflation', 'War', 'Price Stability', 'Transitory']"
"Construction permits for single-family homes moved down, on net, over January and February, point-","(('Economy',-0.2),('Growth',-0.33))",fomcminutes20210317.pdf,"['Economy', 'Growth']",[]
"Improved U.S. economic growth prospects and opti- mism about the eventual lifting of social-distancing and related restrictions globally were major drivers of asset prices abroad, spurring sizable increases in sovereign Page 6 Federal Open Market Committee _____________________________________________________________________________________________ yields in advanced foreign economies.","(('Growth',0.8),('Expectation',0.33),('Yields',0.99),('Countries',0))",fomcminutes20210317.pdf,"['Growth', 'Expectation', 'Yields', 'Countries']","['Yields', 'Development', 'Countries']"
Brendan Pedersen with Punchbowl News.,"(('', ''),)",FOMCpresconf20240320.pdf,[''],[]
o Roll over at auction the amount of principal payments from the Federal Reserve's holdings of Treasury securities maturing in each calendar month that exceeds a cap of $25 billion per month.,"(('Federal Reserve', 0),('Treasury Securities',0),('Holdings',0))",monetary20241218a1.pdf,"['Federal Reserve', 'Treasury Securities', 'Holdings']","['Treasury Securities', 'auction', 'SOMA']"
"And so that channel is full, I would say.","(('', ''),)",FOMCpresconf20240320.pdf,[''],[]
"For 2023 as a whole, GDP expanded 3.1 percent, bolstered by strong consumer demand as well as improving supply conditions.","(('GDP', -0.929),)",FOMCpresconf20240320.pdf,['GDP'],"['Growth', 'GDP', 'Inflation', 'Economic outlook']"
"While delinquency rates on credit cards remained low relative to their historical range, those on auto loans surpassed their pre-pandemic peak.","(('Credit', -0.5), ('Finance', -0.5), ('Economy', -0.4), ('Debt', -0.5), ('Pandemic', -0.3))",fomcminutes20221214.pdf,"['Credit', 'Finance', 'Economy', 'Debt', 'Pandemic']",[]
We’re not trying for that.,"(('', ''),)",FOMCpresconf20240320.pdf,[''],[]
(more) -2-,"(('', ''),)",monetary20231213a1.pdf,[''],[]
"Notation Vote By notation vote completed on November 22, 2022, the Committee unanimously approved the minutes of the Committee meeting held on November 1–2, 2022. _______________________","(('Federal Reserve', 0.681),)",fomcminutes20221214.pdf,['Federal Reserve'],[]
"In their discussion following the Desk briefings, partici- pants noted that the ON RRP facility had been very ef- fective in establishing a firm floor for the federal funds rate and supporting monetary policy implementation.","(('Repurchase Agreement (ON RRP)',0.8),( 'Monetary Policy',0.66),('Federal Funds Rate',0.66))",fomcminutes20210317.pdf,"['Repurchase Agreement (ON RRP)', 'Monetary Policy', 'Federal Funds Rate']","['Overnight Reverse Repurchase Agreement (ON RRP)', 'Federal Funds Target']"
"Voting for this action: Jerome H. Powell, John C. Williams, Thomas I. Barkin, Raphael W. Bostic, Michelle W. Bowman, Lael Brainard, Richard H. Clarida, Mary C. Daly, Charles L. Evans, Randal K. Quarles, and Christopher J. Waller.","(('', ''),)",fomcminutes20210317.pdf,[''],"['Powell', 'Chair']"
All members affirmed that the Committee is strongly committed to returning inflation to its 2 percent objective.,"(('Inflation', -0.498),)",fomcminutes20221214.pdf,['Inflation'],"['Federal Open Market Committee(FOMC)', 'Dual Mandate']"
"Nominal goods exports in January nearly recovered to their level from a year earlier, with particular strength in exports of capital goods and industrial supplies.","(('Trade',0.5),('Growth',0.33),('Economy',0.33),('Pandemic',0))",fomcminutes20210317.pdf,"['Trade', 'Growth', 'Economy', 'Pandemic']","['GDP', 'Trade']"
"Minutes of the Federal Open Market Committee December 13–14, 2022 A joint meeting of the Federal Open Market Committee and the Board of Governors of the Federal Reserve Sys- tem was held in the offices of the Board of Governors on Tuesday, December 13, 2022, at 10:00 a.m. and con- tinued on Wednesday, December 14, 2022, at 9:00 a.m.1 Attendance Jerome H. Powell, Chair John C. Williams, Vice Chair Michael S. Barr Michelle W. Bowman Lael Brainard James Bullard Susan M. Collins Lisa D. Cook Esther L. George Philip N. Jefferson Loretta J. Mester Christopher J. Waller Charles L. Evans, Patrick Harker, Neel Kashkari, Lorie K. Logan, and Helen E. Mucciolo, Alternate Members of the Committee Thomas I. Barkin, Raphael W. Bostic, and Mary C. Daly, Presidents of the Federal Reserve Banks of Richmond, Atlanta, and San Francisco, respectively James A. Clouse, Secretary Matthew M. Luecke, Deputy Secretary Brian J. Bonis, Assistant Secretary Michelle A. Smith, Assistant Secretary Mark E. Van Der Weide, General Counsel Richard Ostrander, Deputy General Counsel Trevor A. Reeve, Economist Stacey Tevlin, Economist Beth Anne Wilson, Economist Shaghil Ahmed, Carlos Garriga, Joseph W. Gruber, and William Wascher, Associate Economists Patricia Zobel, Manager pro tem, System Open Market Account Jose Acosta, Senior Communications Analyst, Division of Information Technology, Board 1","(('Federal Open Market Committee (FOMC)', 0.0))",fomcminutes20221214.pdf,[],"['Chair', 'Federal Open Market Committee(FOMC)', 'Board', 'Powell', 'Federal Reserve', 'Chair', 'Powell', 'Powell', 'Chair', 'Board', 'Federal Reserve', 'Federal Open Market Committee(FOMC)']"
Are you still optimistic that you’ll get the confidence you need this year?,"(('', ''),)",FOMCpresconf20240320.pdf,[''],[]
"The survey-based estimate of the expected policy path in 2024 continued to suggest a decline in the target range for the federal funds rate over 2024, little changed from the path anticipated in the November survey.","(('Interest Rates', 0.10), ('Monetary Policy', 0.05), ('Federal Funds Rate', 0.10))",fomcminutes20221214.pdf,"['Interest Rates', 'Monetary Policy', 'Federal Funds Rate']","['Federal Funds Target', 'Expectation']"
"While we did not make any decisions today on this, the general sense of the Committee is that it will be appropriate to slow the pace of runoff fairly soon, consistent with the plans we previously issued.","(('Federal Reserve', 0.538),)",FOMCpresconf20240320.pdf,['Federal Reserve'],['Asset Runoff']
"For release at 2:00 p.m. EST December 13, 2023 Decisions Regarding Monetary Policy Implementation","(('Monetary Policy', 0.902),)",monetary20231213a1.pdf,['Monetary Policy'],"['domestic policy directive', 'Monetary Policy', 'Powell', 'Federal Reserve', 'SOMA']"
A number of participants indicated that the increases in market-based measures of inflation compensation from the very low levels of last spring were consistent with the view that inflation was likely to move along a path over time con- sistent with the Committee’s goals.,"(('Inflation',0.2),('Expectation',0))",fomcminutes20210317.pdf,"['Inflation', 'Expectation']","['Inflation', 'Price Stability', 'Transitory', 'Monetary Policy', 'Personal Consumption Expenditures (PCE)']"
"Moreover, the staff assumed a slower pace of decline in the natural rate of unemploy- ment over the near term in response to recent estimates suggesting that job-matching efficiency was not improv- ing as fast as previously anticipated.","(('Unemployment', -0.5), ('Expectation', -0.5), ('Labor Market', -0.5), ('Employment', -0.4), ('Economy', -0.4))",fomcminutes20221214.pdf,"['Unemployment', 'Expectation', 'Labor Market', 'Employment', 'Economy']","['HIRE', 'Unemployment']"
"In determining the extent of additional policy firming that may be appropriate to return inflation to 2 percent over time, the Committee will take into account the cumulative tightening of monetary policy, the lags with which monetary policy affects economic activity and inflation, and economic and financial developments.","(('Federal Reserve', 0.783), ('Inflation', 0.158), ('Monetary Policy', 0.883), ('Economy', 0.597),)",ARP_07.2023.pdf,"['Federal Reserve', 'Inflation', 'Monetary Policy', 'Economy']","['Monetary Policy', 'domestic policy directive', 'Inflation', 'Price Stability', 'SOMA']"
"So that’s something we’re watching, but we’re not seeing it.","(('', ''),)",FOMCpresconf20240320.pdf,[''],[]
No participants anticipated that it would be appropriate to begin reducing the federal funds rate target in 2023.,"(('Federal Funds Rate', -0.6), ('Expectation', -0.6), ('Monetary Policy', -0.5))",fomcminutes20221214.pdf,"['Federal Funds Rate', 'Expectation', 'Monetary Policy']",['Federal Funds Target']
And that’s what we want.,"(('', ''),)",FOMCpresconf20240320.pdf,[''],[]
"Jeffrey D. Walker,2 Associate Director, Division of Reserve Bank Operations and Payment Systems, Board Min Wei, Senior Associate Director, Division of Monetary Affairs, Board Paul R. Wood, Special Adviser to the Board, Division of Board Members, Board Rebecca Zarutskie, Special Adviser to the Board, Division of Board Members, Board Selection of Committee Officer By unanimous vote, the Committee selected Richard Ostrander to serve as deputy general counsel, effective December 13, 2022, until the first regularly scheduled meeting of the Committee in 2023.","(('', ''),)",fomcminutes20221214.pdf,[''],"['Chair', 'Powell', 'Board']"
"And the inflation data came in a little bit higher is a separate matter, and I think that caused people to write up their inflation.","(('Inflation', 0.589),)",FOMCpresconf20240320.pdf,['Inflation'],"['Inflation', 'Personal Consumption Expenditures (PCE)', 'Transitory', 'maximum employment']"
The Committee seeks to achieve maximum employment and inflation at the rate of 2 percent over the longer run.,"(('Federal Reserve', 0), ('Inflation', 0.33),('Employment',0.33))",monetary20241218a1.pdf,"['Federal Reserve', 'Inflation', 'Employment']","['maximum employment', 'Dual Mandate', 'Federal Open Market Committee(FOMC)', 'Inflation']"
Participants agreed that overall financial conditions were accommodative.,,fomcminutes20210317.pdf,[],"['Credit', 'Finance']"
We know that reducing policy restraint too soon or too much could result in a reversal of the progress we have seen on inflation and ultimately require even tighter policy to get inflation back to 2 percent.,"(('Inflation', -0.727),)",FOMCpresconf20240320.pdf,['Inflation'],"['Price Stability', 'Inflation', 'Monetary Policy', 'domestic policy directive', 'Dual Mandate']"
Participants generally observed that maintaining a re- strictive policy stance for a sustained period until infla- tion is clearly on a path toward 2 percent is appropriate from a risk-management perspective.,"(('Inflation', 0),)",fomcminutes20221214.pdf,['Inflation'],[]
A number of participants stressed that recently enacted fiscal sup- port would help address some of the hardships faced by these groups and that monetary policy would also help by promoting the economy’s return to the Committee’s goals of broad-based and inclusive maximum employ- ment and price stability.,"(('Fiscal Policy',0.8),('Monetary Policy',0.8),('Employment',0.66),('Price Stability',0.66))",fomcminutes20210317.pdf,"['Fiscal Policy', 'Monetary Policy', 'Employment', 'Price Stability']","['Fiscal Policy', 'Dual Mandate', 'Overnight Reverse Repurchase Agreement (ON RRP)']"
The war and related events are contributing to upward pressure on inflation and are weighing on global economic activity.,"(('Inflation', 0.029), ('Economy', 0.042), ('War', 0.112),)",fomcminutes20221214.pdf,"['Inflation', 'Economy', 'War']","['Inflation', 'War', 'Price Stability', 'Transitory', 'maximum employment']"
"The Committee’s assessments will take into account a wide range of information, including readings on public health, labor market conditions, inflation pressures and inflation expectations, and financial and international developments.","(('Federal Reserve', 0.799), ('Inflation', 0.9),)",monetary20211103a1.pdf,"['Federal Reserve', 'Inflation']",['Federal Open Market Committee(FOMC)']
Engage in dollar roll and coupon swap transactions as necessary to facilitate settle- ment of the Federal Reserve’s agency MBS transactions.”,"(('Mortgage-Backed Securities',0.6),('Balance Sheet',0.33),('Monetary Policy',0.33),('Market Liquidity',0.66))",fomcminutes20210317.pdf,"['Mortgage-Backed Securities', 'Balance Sheet', 'Monetary Policy', 'Market Liquidity']","['Digital Dollar', 'Treasury Securities', 'Federal Reserve', 'Monetary Policy', 'Interest on Excess Reserves (IOER)']"
"Manufacturing activity continued to gen- erally outperform activity in the services sector, and manufactured exports from China and some other Asian economies remained strong, especially to the United States.","(('Trade',0.66),('Growth',0.66),('Economy',0.33),('Expectation',0.33),('Countries',0.1))",fomcminutes20210317.pdf,"['Trade', 'Growth', 'Economy', 'Expectation', 'Countries']","['Cyclically Sensitive Sectors', 'Trade']"
A Summary of Eco- nomic Projections was released to the public following the conclusion of the meeting.,"(('Expectation', 0.3), ('Economy', 0.2))",fomcminutes20221214.pdf,"['Expectation', 'Economy']",['Economic outlook']
The Committee will closely monitor market conditions and is prepared to adjust its plans as appropriate.,"(('Federal Reserve', 0.10), ('Monetary Policy', 0.10), ('Federal Open Market Committee(FOMC)', 0.0), ('Economy', 0.0))",ARP_04.2020.pdf,"['Federal Reserve', 'Monetary Policy', 'Federal Open Market Committee(FOMC)', 'Economy']",['Federal Open Market Committee(FOMC)']
"With respect to the business sector, participants ob- served that business equipment investment had contin- ued to increase and that readings on new orders and shipments of capital goods remained strong.","(('Investment',1),('Growth',1),('Expectation',0.8))",fomcminutes20210317.pdf,"['Investment', 'Growth', 'Expectation']","['Cyclically Sensitive Sectors', 'Demand']"
"Nominal wage growth has been easing, and job vacancies have declined.","(('Employment', -0.033), ('Monetary Policy', -0.033),)",FOMCpresconf20240320.pdf,"['Employment', 'Monetary Policy']","['maximum employment', 'Unemployment', 'Labor Market', 'Average Hourly Earnings']"
Central bank com- munications signaling a slower pace of policy rate in- creases appeared to contribute to improved sentiment.,"(('Interest Rates', 0.38), ('Monetary Policy', 0.35))",fomcminutes20221214.pdf,"['Interest Rates', 'Monetary Policy']","['Monetary Policy', 'Federal Reserve']"
"Although the jobs-to- workers gap has narrowed, labor demand still exceeds the supply of available workers.","(('', ''),)",FOMCpresconf20240320.pdf,[''],"['Labor Market', 'Unemployment', 'maximum employment', 'Employment', 'HIRE']"
"And just in general, if labor supply continued to rebound in 2024, the way it did in 2023, what would stronger hiring and possibly stronger growth mean for the path forward on policy?","(('', ''),)",FOMCpresconf20240320.pdf,[''],"['HIRE', 'Labor Market', 'maximum employment', 'Cyclically Sensitive Sectors', 'Dual Mandate']"
"High inflation continued to contribute to a decline in real disposable incomes, which, together with disruptions to energy supplies, depressed economic activity, especially in Europe.","(('Inflation', -0.10), ('Energy Prices', -0.10), ('Economy', -0.10), ('Countries', 0.0))",fomcminutes20221214.pdf,"['Inflation', 'Energy Prices', 'Economy', 'Countries']","['Inflation', 'maximum employment', 'Transitory', 'Price Stability', 'Cyclically Sensitive Sectors']"
The Committee remains highly attentive to inflation risks.,"(('Federal Reserve', 0.305), ('Inflation', 0.305),)",ARP_07.2023.pdf,"['Federal Reserve', 'Inflation']","['Price Stability', 'maximum employment', 'Federal Open Market Committee(FOMC)']"
The invasion of Ukraine by Russia is causing tremendous human and economic hardship.,"(('Countries', -0.66), ('Economy', -0.75), ('War', -0.85))",monetary20220504a1.pdf,"['Countries', 'Economy', 'War']",[]
So that’s what we’re doing.,"(('', ''),)",FOMCpresconf20240320.pdf,[''],[]
I wouldn’t want to turn it back.,"(('', ''),)",FOMCpresconf20240320.pdf,[''],[]
They’ll react to the data.,"(('', ''),)",FOMCpresconf20240320.pdf,[''],[]
Participants also observed that residential construction continued to be solid and home Page 8 Federal Open Market Committee _____________________________________________________________________________________________,"(('Interest Rates',0),('Growth', 0.66))",fomcminutes20210317.pdf,"['Interest Rates', 'Growth']",[]
"Participants noted that in- dicators of economic activity and employment had turned up recently after a period of moderation, al- though the sectors most adversely affected by the pan- demic remained weak.","(('GDP',0.66),('Employment',0.66),('Pandemic',0),('Cyclically Sensitive Sectors',-0.33))",fomcminutes20210317.pdf,"['GDP', 'Employment', 'Pandemic', 'Cyclically Sensitive Sectors']","['Cyclically Sensitive Sectors', 'maximum employment']"
The Committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the Committee’s goals.,"(('Federal Reserve', 0.858),('Monetary Policy', 0))",fomcminutes20210317.pdf,"['Federal Reserve', 'Monetary Policy']","['Monetary Policy', 'domestic policy directive', 'Federal Open Market Committee(FOMC)', 'Powell', 'Risk']"
"Obviously, inflation is some ways away from target.","(('Inflation', -0.33),)",FOMCpresconf20240320.pdf,['Inflation'],"['Inflation', 'Price Stability', 'maximum employment', 'Monetary Policy', 'Transitory']"
"Against this background, participants continued to be highly attentive to inflation risks.","(('Inflation', -0.5), ('Risk', -0.6), ('Expectation', -0.4))",fomcminutes20221214.pdf,"['Inflation', 'Risk', 'Expectation']","['Inflation', 'Price Stability', 'Transitory', 'Personal Consumption Expenditures (PCE)', 'Risk']"
